strain,Random Colours
NODE_0000031,x
NODE_0000011,x
Thailand/1610acTw,x
NODE_0000012,x
SG_018,x
NODE_0000013,x
SG_056,y
SG_027,y
SG_074,y
NODE_0000009,y
NODE_0000010,y
ZKC2/2016,y
NODE_0000022,y
DOM/2016/BB_0433,y
NODE_0000023,x
DOM/2016/BB_0183,x
DOM/2016/MA_WGS16_011,y
NODE_0000025,z
NODE_0000026,z
USA/2016/FLUR022,y
Aedes_aegypti/USA/2016/FL05,z
NODE_0000027,z
DOM/2016/BB_0059,z
NODE_0000028,z
USA/2016/FL022,z
USA/2016/FLWB042,z
Brazil/2016/ZBRC16,y
NODE_0000018,y
V8375,y
NODE_0000032,x
HND/2016/HU_ME59,x
Nica1_16,x
NODE_0000004,z
Brazil/2015/ZBRC301,z
NODE_0000003,z
Brazil/2015/ZBRC303,w
BRA/2016/FC_6706,w
Colombia/2016/ZC204Se,w
